authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,clean_text,us_count,them_count,negation_count,intensifier_count,hedge_count,is_polarized
646900,801,False,32,347500,2021-06-07T19:15:53.000Z,17700000,167500000,1300000,Nothing to see here....just #tickling a #fish and making him #laugh,9,Nothing to see here....just #tickling a #fish and making him #laugh,0,0,0,0,0,False
177300,5271,False,133,344300,2021-02-05T05:19:12.000Z,12800000,63500000,1000000,"Uhhh, she isn’t robbing anyone with that mask. #challenge #fyp #follow4follow #kitten #funny #laugh #hilarious #sock #animal #fail #kitty #cat",10,"Uhhh, she isn’t robbing anyone with that mask. #challenge #fyp #follow4follow #kitten #funny #laugh #hilarious #sock #animal #fail #kitty #cat",0,0,1,0,0,False
1500000,1922,False,617,186900,2021-11-22T21:55:38.000Z,12400000,92800000,366700,He’s quite the actor  #fyp #lucas #smile #actor #laugh #viral #babiesoftiktok #boymom,11,He’s quite the actor #fyp #lucas #smile #actor #laugh #viral #babiesoftiktok #boymom,0,0,0,0,0,False
2900000,23,False,142,28800,2022-01-08T12:31:49.000Z,9400000,72600000,138000,#laugh #cats #cat #fun # #animals #funny #wee #animal #funnyvideos #funnyvideo,20,#laugh #cats #cat #fun # #animals #funny #wee #animal #funnyvideos #funnyvideo,0,0,0,0,0,False
2900000,23,False,142,40200,2022-06-14T13:20:33.000Z,9400000,62200000,120800,#laugh #funny #cat #funnyvideo #funnyvideos #wee #cats #pet #fun #animals #pets #dog #animal #,45,#laugh #funny #cat #funnyvideo #funnyvideos #wee #cats #pet #fun #animals #pets #dog #animal #,0,0,0,0,0,False
1700000,2149,True,3543,15800,2021-01-12T16:39:47.000Z,8000000,44300000,12900,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,33,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes #fashion,0,0,0,0,0,False
291000,41,False,302,68100,2022-01-28T10:09:32.000Z,7500000,63100000,195500,Gangster #toliet #snoopdog #fyp #viral #lol #foryou #whatyoulookingat #funny #laugh #australia,15,Gangster #toliet #snoopdog #fyp #viral #lol #foryou #whatyoulookingat #funny #laugh #australia,0,0,0,0,0,False
3800000,178,False,1274,17700,2021-10-27T01:21:02.000Z,6900000,38700000,127600,Uno Reverse Card #fyp #foryou #family  #laugh #funny #mom #grandma,26,Uno Reverse Card #fyp #foryou #family #laugh #funny #mom #grandma,0,0,0,0,0,False
4300000,407,True,492,36400,2021-09-17T04:30:37.000Z,6800000,43200000,151900,YouDONE?! #bird #australia #birdsoftiktok #laugh #hamlet #comedy #fyp #whatdoing #funny,11,YouDONE?! #bird #australia #birdsoftiktok #laugh #hamlet #comedy #fyp #whatdoing #funny,0,0,0,0,0,False
352200,507,False,115,8351,2021-08-08T19:40:18.000Z,6600000,35100000,35200,Pt.2 Times my jokes haven’t gone according to plan  #joke #jokes #dadjokes #mumjokes #jokeswithmom #entertainment #dadjoke #laugh #jokess #bloopers,38,Pt.2 Times my jokes haven’t gone according to plan #joke #jokes #dadjokes #mumjokes #jokeswithmom #entertainment #dadjoke #laugh #jokess #bloopers,0,0,2,0,0,False
2900000,23,False,142,31600,2022-06-22T12:48:58.000Z,6600000,43500000,73400,The end #cat #funnyvideos #funnyvideo #pet #cats #fun #pets #animals #dog #funny #laugh #catsoftiktok #,49,The end #cat #funnyvideos #funnyvideo #pet #cats #fun #pets #animals #dog #funny #laugh #catsoftiktok #,0,0,0,0,0,False
2700000,181,False,112,51300,2021-12-07T15:38:24.000Z,6400000,104500000,203000,Another Helicopter Helicopter Instagram @ricoanimations #viral #fyp #foryoupage #foryou #funnyvideos #tiktokanimations #laugh,13,Another Helicopter Helicopter Instagram @ricoanimations #viral #fyp #foryoupage #foryou #funnyvideos #tiktokanimations #laugh,0,0,0,0,0,False
198500,8629,False,626,8819,2022-04-01T14:56:09.000Z,6300000,51400000,5930,Happy April Fools Day! #aprilfools #day #pranks #prankster #funday #justforfun #justkidding #funnyvideo #comedy #nativefamilies #nativehumor #smile #laugh #fyp #fypシ #fypdongggggggg #GameTok #AFairShotWithBlock #specialtalent #busted have a great day!,47,Happy April Fools Day! #aprilfools #day #pranks #prankster #funday #justforfun #justkidding #funnyvideo #comedy #nativefamilies #nativehumor #smile #laugh #fyp #fypシ #fypdongggggggg #GameTok #AFairShotWithBlock #specialtalent #busted have a great day!,0,0,0,0,0,False
